waarom,why,vahr-om
omdat,because,om-daht
wanneer,when,vah-nare
waar,where,vahr
wie,who,vee
wat,what,vot
welke,which,vel-kuh
hoe,how,how
hoeveel,how much,hoo-vayl
hoelang,how long,hoo-lahng
hoe laat,what time,how laht
als,if,ahls
of,or,off
en,and,en
maar,but,mahr
dus,so,doos
met,with,met
zonder,without,zon-der
voor,for,voor
van,from,vahn
naar,to,nahr
over,about,oh-ver
met mij,with me,met my
met jou,with you,met yow
samen,together,sah-men
misschien,maybe,miss-skee-en
waarschijnlijk,probably,vahr-skhine-likh
echt,really,ekht
precies,exactly,preh-sees
goed,okay / alright,ghood
