zien,to see,zeen
horen,to hear,hoh-ren
vinden,to find,vin-den
geven,to give,gay-ven
nemen,to take,nay-men
krijgen,to get / receive,kry-gen
brengen,to bring,breng-en
vragen,to ask,vrah-gen
antwoorden,to answer,ahnt-voort-en
ontmoeten,to meet,ont-moo-ten
helpen,to help,hell-pen
gebruiken,to use,beh-grow-ken
maken,to make,mah-ken
beginnen,to start,beh-gin-nen
stoppen,to stop,stop-pen
wachten,to wait,vakh-ten
kijken,to look,kye-ken
lezen,to read,lay-zen
schrijven,to write,skhrive-en
kopen,to buy,koh-pen
betalen,to pay,beh-tah-len
eten,to eat,ay-ten
drinken,to drink,dring-ken
gaan,to go,gahn
komen,to come,koh-men
vandaag,todag,van-dakh
morgen,tomorrow,mor-ghen
gisteren,yesterdag,ghis-ter-en
samen,together,sah-men
hier,here,heer
