nu,now,new
snel,soon,snell
later,later,lah-ter
al,already,all
nog,still,nokh
nog,yet,nokh
voor,before,voor
na,after,nah
eerst,first,air-st
dan,then,dahn
volgende,next,fol-ghen-deh
vandaag,todag,van-dakh
morgen,tomorrow,mor-ghen
gisteren,yesterdag,ghis-ter-en
ochtend,morning,okh-tent
middag,afternoon,mid-dakh
avond,evening,ah-vont
nacht,night,nakht
weekend,weekend,vay-kend
uur,hour,oor
minuut,minute,mee-noot
dag,dag,dakh
week,week,vayk
plaats,place,plah-ts
straat,street,straht
winkel,shop,ving-kel
café,café,ka-fay
trein,train,trine
station,station,sta-see-yon
reis,trip,rice
