mijn,my,mine
jouw,your,yow
zijn,his / to be,zine
ons,our,ons
mensen,people,men-sen
persoon,person,per-soon
naam,name,nahm
vriend,friend,freent
familie,family,fah-mee-lee
vader,father,vah-der
moeder,mother,moo-der
broer,brother,broor
zus,sister,zoos
zoon,son,zone
dochter,daughter,dokh-ter
jaar,year,yahr
tijd,time,tite
dag,dag,dakh
week,week,vayk
maand,month,mahnt
thuis,at home,towse
plaats,place,plah-ts
stad,city,staht
land,country,lahnt
Nederland,Netherlands,nay-der-lahnt
Ierland,Ireland,eer-lahnt
taal,language,tahl
woord,word,vohrt
vraag,question,vrahkh
antwoord,answer,ahnt-vohrt
