ben,am,ben
bent,are,bent
is,is,iss
heb,have,heb
hebt,have,haybt
doen,do,dune
gaan,go,gahn
komen,come,koh-men
wonen,live,voh-nen
leren,learn,lay-ren
spreken,speak,spray-ken
luisteren,listen,low-ster-en
zien,see,zeen
horen,hear,hoh-ren
maken,make,mah-ken
werken,work,verk-en
willen,want,vil-en
kunnen,can / be able to,kun-en
moeten,must / have to,moo-ten
houden,like / love,how-den
eten,eat,ay-ten
drinken,drink,dring-ken
slapen,sleep,slah-pen
lopen,walk / run,loh-pen
lezen,read,lay-zen
schrijven,write,skhrive-en
weten,know,vay-ten
denken,think,den-ken
praten,talk,prah-ten
begrijpen,understand,beh-grype-en
