weg,road,vekh
links,left,links
rechts,right,rekhts
rechtdoor,straight,rekht-door
dichtbij,near,dikh-bye
ver,far,vair
hier,here,heer
daar,there,dahr
ingang,entrance,ing-gahng
uitgang,exit,out-gahng
open,open,oh-pen
dicht,closed,dikht
vol,full,foll
leeg,empty,laykh
kaartje,ticket,kart-yeh
geld,money,khelt
prijs,price,prise
duur,expensive,door
goedkoop,cheap,khoot-kohp
eten,food,ay-ten
water,water,vah-ter
koffie,coffee,kaw-fee
bier,beer,beer
restaurant,restaurant,res-toh-rahnt
toilet,toilet,twa-let
hulp,help,hoelp
probleem,problem,proh-blaym
trein,train,trine
bus,bus,bus
fiets,bicycle,feets
dank je,Thank you,dahnk-yuh
