leuk,nice/fun,luke
mooi,beautiful/nice,moy
interessant,interesting,in-ter-ess-ant
moeilijk,difficult,moo-lick
makkelijk,easy,mock-uh-lick
belangrijk,important,bay-lang-rike
nieuw,new,noo
oud,old,out
jong,young,yong
lang,long/tall,lahng
kort,short,kort
snel,fast,snell
langzaam,slow,lahng-zahm
veel,much/many,vayl
weinig,little/few,vay-nikh
meer,more,mare
minder,less,min-der
altijd,always,all-tite
vaak,often,vawk
soms,sometimes,soms
nooit,never,noy-t
weer,again/weather,vayr
ook,also/too,ohk
heel,very/whole,hayl
echt,really,ekht
misschien,maybe,miss-skee-en
samen,together,sah-men
alleen,alone/only,ah-lane
klaar,ready/finished,klahr
bezig,busy/working on,bay-zikh
